fy,firm,state,city,penalty_usd,source_url,raw
FY2016,Paul Davis Restoration of Tampa,FL,,,https://www.epa.gov/enforcement/fy2016-enforcement-actions-lead-renovation-repair-and-painting-rule-rrp
FY2016,RAMCO Remodel America Corp,TN,,,https://www.epa.gov/enforcement/fy2016-enforcement-actions-lead-renovation-repair-and-painting-rule-rrp
FY2016,"Tom Ford Construction, LLC",TN,,
FY2016,UAG Construction,FL,,,https://www.epa.gov/enforcement/fy2016-enforcement-actions-lead-renovation-repair-and-painting-rule-rrp
FY2016,Upstate Windows and Exteriors,SC,,,https://www.epa.gov/enforcement/fy2016-enforcement-actions-lead-renovation-repair-and-painting-rule-rrp
FY2016,"Windows Direct, LLC",FL,,
FY2016,"Alumna World, Inc. d/b/a Home Pro",MO,,
FY2016,"Amalaco LLC, d/b/a MJM Renovation",MO,,
FY2016,American Indian Environment & Health Association d/b/a AIEHA,KS,,,https://www.epa.gov/enforcement/fy2016-enforcement-actions-lead-renovation-repair-and-painting-rule-rrp
FY2016,B.B. Contracting & Remodeling,MO,,,https://www.epa.gov/enforcement/fy2016-enforcement-actions-lead-renovation-repair-and-painting-rule-rrp
FY2016,"Befort Construction, LLC",KS,,
FY2016,Bradley Reeder d/b/a Reeder Construction,MO,,,https://www.epa.gov/enforcement/fy2016-enforcement-actions-lead-renovation-repair-and-painting-rule-rrp
FY2016,"B&R Insulation, Inc",KS,,
FY2016,"Gateway In Green, LLC",MO,,
FY2016,"Jim Plunkett, Inc",MO,,
FY2016,"Making America Better, Inc",MO,,
FY2016,Matthew Andersen d/b/a Andersen Painting,NE,,,https://www.epa.gov/enforcement/fy2016-enforcement-actions-lead-renovation-repair-and-painting-rule-rrp
FY2016,Millennium Restoration and Development Corp,MO,,,https://www.epa.gov/enforcement/fy2016-enforcement-actions-lead-renovation-repair-and-painting-rule-rrp
FY2016,Miller Construction & Demo,NE,,,https://www.epa.gov/enforcement/fy2016-enforcement-actions-lead-renovation-repair-and-painting-rule-rrp
FY2016,"Nosal Enterprises, Inc",NE,,
FY2016,"RA Construction KC, LLC",MO,,
FY2016,Ron Scott d/b/a White Dog Painting,MO,,,https://www.epa.gov/enforcement/fy2016-enforcement-actions-lead-renovation-repair-and-painting-rule-rrp
FY2016,Ronald M. Bryant,NE,,,https://www.epa.gov/enforcement/fy2016-enforcement-actions-lead-renovation-repair-and-painting-rule-rrp
FY2016,"S.J. Construction, LLC",OH,,
FY2016,Todd Moore d/b/a TM Construction,MO,,,https://www.epa.gov/enforcement/fy2016-enforcement-actions-lead-renovation-repair-and-painting-rule-rrp
FY2016,"Watson Works, LLC",NE,,
FY2016,Deborah A. Beck,NE,,,https://www.epa.gov/enforcement/fy2016-enforcement-actions-lead-renovation-repair-and-painting-rule-rrp
FY2016,Buechler Construction,ND,,,https://www.epa.gov/enforcement/fy2016-enforcement-actions-lead-renovation-repair-and-painting-rule-rrp
FY2016,"Clooten Siding & Window, Inc",ND,,
FY2016,"Cougar Holdings, LLC",CO,,
FY2016,"Homewrights, LLC",CO,,
FY2016,"Rayco Development Solutions, Inc",CA,,
FY2016,"Dan Hemmer Construction, Inc",ID,,
FY2016,"DLR Properties, LLC",ID,,
FY2016,"Rapid Repair, LLC",AK,,
FY2016,"Retro Rentals, LLC",ID,,
FY2016,Stonke Construction,AK,,,https://www.epa.gov/enforcement/fy2016-enforcement-actions-lead-renovation-repair-and-painting-rule-rrp
FY2016,"Superior Electrical Contractors Inc., d/b/a Superior Custom Homes and Renovations",ID,,
FY2016,Heath's Home Remodeling,NJ,,,https://www.epa.gov/enforcement/fy2016-enforcement-actions-lead-renovation-repair-and-painting-rule-rrp
FY2016,K&D Landscaping and Construction,NY,,,https://www.epa.gov/enforcement/fy2016-enforcement-actions-lead-renovation-repair-and-painting-rule-rrp
FY2016,S&D Unique Reno and Design,NY,,,https://www.epa.gov/enforcement/fy2016-enforcement-actions-lead-renovation-repair-and-painting-rule-rrp
FY2016,Scott Brothers Windows and Doors,PA,,,https://www.epa.gov/enforcement/fy2016-enforcement-actions-lead-renovation-repair-and-painting-rule-rrp
FY2016,Detroit Training Institute of Technology,MI,,,https://www.epa.gov/enforcement/fy2016-enforcement-actions-lead-renovation-repair-and-painting-rule-rrp
FY2016,TLC Construction,IL,,,https://www.epa.gov/enforcement/fy2016-enforcement-actions-lead-renovation-repair-and-painting-rule-rrp
FY2016,"Westside Environmental Plan of Action Committee, LLC",IL,,
FY2016,Great Lakes Construction / John Robichaud,MI,,,https://www.epa.gov/enforcement/fy2016-enforcement-actions-lead-renovation-repair-and-painting-rule-rrp
FY2016,"Blackbird Construction, LLC",MO,,
FY2016,"JH & JH Properties, LLC",ND,,
