npdes_id,facility_name,address,city,state,zip,lat,lng,lifetime_qtrs_any_snc,current_pollution_snc_streak,first_snc_qtr,enforcement_status
WY0056499,PIONEER CRYOGENIC GAS PLANT,1241 STATE HWY 240,OPAL,WY,83124,41.79715,-110.32469,8,8,20243,no_formal_or_informal_action_since_2023-05
LAG540123,"MAGNOLIA WATER UTILITY OPERATING CO., LLC- SUN VILLAGE",NEXT TO 117 SUN VILLAGE,LAFAYETTE,LA,70593,30.132778,-92.118056,101,101,20012,no_formal_or_informal_action_since_2023-05
MO0114910,LABADIE WWTF,0.2 MILES NORTHEAST OF PACIFIC STREET,LABADIE,MO,63055,38.5319451,-90.846106,26,6,20181,no_formal_or_informal_action_since_2023-05
LAG540620,"MAGNOLIA WATER UTILITY OPERATING CO., LLC- OLD PERKINS PLACE",OLD PERKINS ROAD,PRAIRIEVILLE,LA,70769,30.327222,-90.911389,103,101,20001,no_formal_or_informal_action_since_2023-05
LA0046558,FLORIEN PLYWOOD PLANT,225 STUDEMAN ST.,FLORIEN,LA,71429,31.456111,-93.460556,17,10,20181,no_formal_or_informal_action_since_2023-05
NY0266230,FORT MILLER HYDRO PLANT,120 HARRIS ROAD,GANSEVOORT,NY,12831,43.160556,-73.583889,5,4,20212,no_formal_or_informal_action_since_2023-05
MD3876N22,LYHUS PROPERTY,12170 LIME KILN ROAD,FULTON,MD,20759,39.15053,-76.93312,6,0,20251,no_formal_or_informal_action_since_2023-05
WV0022039,POINT PLEASANT WASTEWATER TREATMENT PLANT,SECOND AND WALNUT STREET,POINT PLEASANT,WV,25550,38.8375,-82.1364,36,11,20131,no_formal_or_informal_action_since_2023-05
LAG839003,KOURCO ENV SVC INC,STATEWIDE,LAFAYETTE,LA,70000,30.229374,-92.04674,12,10,20191,no_formal_or_informal_action_since_2023-05
NY0211591,LAUNDRY PALACE CI,18 E SUFFOLK AVENUE,CENTRAL ISLIP,NY,11722,40.791222,-73.2005,30,17,20191,no_formal_or_informal_action_since_2023-05
LAG110072,TYCER READY MIX INC-,2105 HIGHWAY 190,HAMMOND,LA,70451,30.509722,-90.430833,5,5,20252,no_formal_or_informal_action_since_2023-05
OH0131121,"TRILLIUM FARM HOLDINGS, LLC - CROTON LAYER SITE 1",11995 CROTON ROAD,CROTON,OH,43013,40.214081,-82.686165,10,4,20173,no_formal_or_informal_action_since_2023-05
NY0024929,WHITEHALL (V) WWTP,RIVERSIDE DRIVE,WHITEHALL,NY,12887,43.546778,-73.402889,78,3,20033,no_formal_or_informal_action_since_2023-05
WV0102253,NEW VRINDABAN COMMUNITY,3759 MCCREARY'S RIDGE ROAD,MOUNDSVILLE,WV,26041,39.97,-80.6042,16,3,20084,no_formal_or_informal_action_since_2023-05
OH0021326,PAYNE WWTP,HARRISON TWP RD 55,PAYNE,OH,45880,41.082671,-84.7001,42,4,20034,no_formal_or_informal_action_since_2023-05
MOGD00178,ROCK LANE RESORT AND MARINA WWTF,611 ROCK LANE RD,BRANSON,MO,65616,36.6376117,-93.338391,15,5,20193,no_formal_or_informal_action_since_2023-05
WV1017225,BERRY BRANCH UNDERGROUND MINE,US RT. 119 SOUTH SHAFFER ROAD EXIT,MADISON,WV,25130,38.0931,-81.9011,38,24,20171,no_formal_or_informal_action_since_2023-05
MAG912201,GREATER CAMBRIDGE ENERGY PROGRAM - ROUTE K5A,25-85 BROADWAY,CAMBRIDGE,MA,02142,42.360971,-71.088381,4,3,20253,no_formal_or_informal_action_since_2023-05
COR900651,PROTECTO WRAP,2255 S DELAWARE ST,DENVER,CO,80216,39.675592,-104.992667,42,42,20161,no_formal_or_informal_action_since_2023-05
COR421950,MURPHY CREEK SUBDIVISION NO 20,S. GUNCLUB RD AND E. MISSISSIPPI AVE.,AURORA,CO,80016,39.696299,-104.715339,3,3,20254,no_formal_or_informal_action_since_2023-05
AR0051144,"TISDALE PROPERTIES & DEVELOPMENT, LLC - CUTOFF CORNER CAFE",27024 KANIS ROAD,LITTLE ROCK,AR,72223,34.778667,-92.557417,21,5,20094,no_formal_or_informal_action_since_2023-05
IA0025861,DANVILLE CITY OF STP,UNKNOWN,DANVILLE,IA,52623,40.85082,-91.3106,7,5,19994,no_formal_or_informal_action_since_2023-05
LAG33A149,"LAMAR INVESTMENTS LA, LLC",BAYOU JEAN LACROIX FIELD PRODUCTION FACILITY,MONTEGUT,LA,70000,29.375556,-90.451139,31,31,20184,no_formal_or_informal_action_since_2023-05
LAG750444,GRAMERCY CARWASH,801 N. AIRLINE AVENUE,GRAMERCY,LA,70052,30.060556,-90.698333,6,3,20251,no_formal_or_informal_action_since_2023-05
WV0056332,CHESTERFIELD PREP PLANT,RT 85/07,UNEEDA,WV,25130,38.0147,-81.7269,27,5,20182,no_formal_or_informal_action_since_2023-05
WI0070645,WESTBY COOP CREAMERY,"NE1/4 NE1/4, SEC 32 T14N R4W, HIGHLAND ST., TOWN O",WESTBY,WI,54667,43.65,-90.85,64,11,19961,no_formal_or_informal_action_since_2023-05
MO0055751,VIBURNUM WWTF,ST JOSEPH ST AND ORE HAUL RD,VIBURNUM,MO,65566,37.7109202,-91.116113,5,3,20183,no_formal_or_informal_action_since_2023-05
FL0037966,ORLANDO/IRON BRIDGE REGIONAL WRF,601 IRON BRIDGE CIR,OVIEDO,FL,32765-8283,28.6263176,-81.2205119,10,3,19964,no_formal_or_informal_action_since_2023-05
WV0114618,HUNTINGTON ALLOYS CORPORATION,3200 RIVERSIDE DRIVE,HUNTINGTON,WV,25705,38.4181,-82.3881,16,11,20123,no_formal_or_informal_action_since_2023-05
IL0032735,"BOLINGBROOK WRF #2, VILLAGE OF",1000 WEST BOUGHTON ROAD,BOLINGBROOK,IL,60440,41.711111,-88.113889,31,3,19962,no_formal_or_informal_action_since_2023-05
LA0074781,MAGNOLIA WATER UTILITY OPERATING COMPANY LLC - ILE DES CANNES,304 BELFAST ST,LAFAYETTE,LA,70583,30.20333,-92.10328,71,3,19964,no_formal_or_informal_action_since_2023-05
WV0026271,CITY OF WILLIAMSON,240 PKWY DR.,WILLIAMSON,WV,25661,37.6731,-82.2936,40,11,19992,no_formal_or_informal_action_since_2023-05
LAG560449,"QUICK BLVD APARTMENTS, LP - TANGI VILLAGE APARTMENTS",13080 QUICK BLVD,HAMMOND,LA,70000,30.523972,-90.513778,6,6,20251,no_formal_or_informal_action_since_2023-05
MOGDS0026,DEER RUN MEADOWS WWTP,0.5 MILES W OF HWY H AND HILL CREEK RD.,TROY,MO,63379,38.9940025,-91.019888,3,3,20254,no_formal_or_informal_action_since_2023-05
WV0040371,WAR WWTP,"SR 16 NW SIDE OF CITY, LOWER EXCELSIOR BOTTOM",WAR,WV,24892,37.3117,-81.6958,12,9,20163,no_formal_or_informal_action_since_2023-05
LAG540105,"MAGNOLIA WATER UTILITY OPERATING CO., LLC- KINDCO",MEDA DR,LAFAYETTE,LA,70898,30.201111,-92.146944,101,101,20012,no_formal_or_informal_action_since_2023-05
LAG780042,"SCHAMERHORN, INC.- SCHAMERHORN C&D LANDFILL",10443 HWY 8,LEESVILLE,LA,71446,31.171172,-93.163176,9,3,20212,no_formal_or_informal_action_since_2023-05
AKG572087,IVORY JACKS WW TREATMENT FACILITY,2581 GOLDSTREAM ROAD,FAIRBANKS,AK,99709,64.9131,-147.904,11,5,20174,no_formal_or_informal_action_since_2023-05
MO0132241,JAKES CREEK TRAIL AREA WWTF,WEST TERMINUS OF CHESTNUT LANE,INDIAN POINT,MO,65616,36.6470272,-93.337033,12,5,20211,no_formal_or_informal_action_since_2023-05
MOGDS0055,"MAWC, VAN LOO ESTATES WWTF",3711 VIOLA VIEW,JEFFERSON CITY,MO,65101,38.500058,-92.139057,5,5,20252,no_formal_or_informal_action_since_2023-05
