npdes_id,facility_name,address,city,state,zip,lat,lng,lifetime_qtrs_any_snc,current_pollution_snc_streak,first_snc_qtr,enforcement_status
COG589079,DOVE CREEK WWTF,S. OF TOWN ON W SIDE OF DOVE CREEK,DOLORES COUNTY,CO,81324,37.76859,-108.90996,34,6,20181,no_formal_federal_action_since_2023-05;has_informal_action
MTR000047,BOUMA POST YARDS,9365 E HWY 200,LINCOLN,MT,59639,47.003056,-112.493694,4,3,20251,no_formal_federal_action_since_2023-05;has_informal_action
MT0021385,TOWN OF JORDAN WASTEWATER TREATMETN FACILITY,1/2 MILE EAST ON COOLEY RANCH ROAD,JORDAN,MT,59337,47.319917,-106.891472,75,65,20062,no_formal_federal_action_since_2023-05;has_informal_action
IL0024996,"OGLESBY STP, CITY OF",215 FIELD AVENUE,OGLESBY,IL,61348,41.295000,-89.053583,29,3,19963,no_formal_federal_action_since_2023-05;no_informal_action
LA0124176,NATIONAL WATER INFRASTRUCTURE LLC - SHADOWS OF ASCENSION WWTP,40398 AUGUSTIN AVE,PRAIRIEVILLE,LA,70769,30.312778,-90.924167,8,4,20114,no_formal_federal_action_since_2023-05;has_informal_action
ILG640217,CISCO WTP,250 E NORTH ST,CISCO,IL,61830,40.011111,-88.724444,49,3,20081,no_formal_federal_action_since_2023-05;no_informal_action
NY0205401,JOHN P BUCKLEY WATER FILTRATION PLANT,74 WATER PLANT RD,TROY,NY,12182,42.786944,-73.653333,56,7,20031,no_formal_federal_action_since_2023-05;has_informal_action
WV1022792,NORTH RUM SURFACE MINE,RUM CREEK ROAD,YOLYN,WV,25654,37.8272,-81.8044,38,24,20171,no_formal_federal_action_since_2023-05;no_informal_action
WY0056499,PIONEER CRYOGENIC GAS PLANT,1241 STATE HWY 240,OPAL,WY,83124,41.79715,-110.32469,8,8,20243,no_formal_federal_action_since_2023-05;no_informal_action
LAG540123,"MAGNOLIA WATER UTILITY OPERATING CO., LLC- SUN VILLAGE",NEXT TO 117 SUN VILLAGE,LAFAYETTE,LA,70593,30.132778,-92.118056,101,101,20012,no_formal_federal_action_since_2023-05;no_informal_action
